voyage_id,vessel_name,flag,place_of_slave_purchase,place_of_slave_disembarkation,total_embarked,total_disembarked,year_of_arrival,percent_men,percent_women,percent_children,captain's_name,resistance_label,sources
70016,Othello,U.S.A.,"Africa., port unspecified","Virginia, port unspecified",120,90,1768,,,,"Duncan, John",,"[u'Minch,173<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
70017,Othello,U.S.A.,"Africa., port unspecified","Virginia, port unspecified",118,103,1772,,,,"Duncan, John",,"[u'Minch,187<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
70023,Molly Gally,Great Britain,"Africa., port unspecified",Upper James River,271,217,1729,,,,"Hannah, Peter",,"[u'Minch,196<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'UVA,RobertCarter,Letterbk,1728-31,f.60<><i>University of Virginia, Alderman Library</i> (Charlottesville, Virginia, USA) MSS 3807, Papers of Robert Carter, 1722-83', u'ADM68/195,88<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'T70/1465,f.78<><p><em>British National Archive</em> (Kew) Treasury</p>', u'DPB,28.10.10.<><i>Daily Post Boy</i>', u'DJ,28.10.23.<><i>Daily Journal</i>', u'Walsh Virginia Database<>Walsh, Lorena, Database of slave trading voyages to Virginia']"
75002,Active,Great Britain,"Africa., port unspecified",Savannah,352,287,1766,,,,"Rogers, James",,"[u'Donnan,IV,621f<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'ADM68/201,85v<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'GG, Oct 20 1766<><i>Georgia Gazette</i>']"
75026,Africa Packet,Great Britain,Saint-Louis,Hampton,77,60,1760,,,,"Manson, Robert<br/> Morris",,"[u'BT6/3,157<><p><em>TNA</em> (Kew, London)</p>', u'CO5/1441-50<><p><em>British National Archives</em> (Kew) Colonial Office</p>', u'Minch,159<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'ADM7/90<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'LList, 11 Apr 1760<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 9 Dec 1760<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 20 Jan 1761<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'BT6/3,158<><p><em>TNA</em> (Kew, London)</p>']"
75038,Cruizer,Great Britain,"Africa., port unspecified","Virginia, port unspecified",105,84,1715,,,,"Griffin, George",,"[u'Donnan,IV,175<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Minch,35<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'Account,1714<><p><em>An Account of the Ships Employed in the African Trade, from the Ports of London and Bristol belonging to the Separate Traders to Africa; with the Value of the said Ships and Cargoes, and the Number of Negroes usually carried by the said</em> <em>Ships</em> (London, nd, but c. 1714)</p>']"
75055,Amity,Great Britain,Gambia,New York,83,65,1770,,,,"Harrison, David",,"[u'BT6/3,174<><p><em>TNA</em> (Kew, London)</p>', u'Donnan,III,460<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>']"
75070,Anna,Great Britain,Whydah,Upper James River,474,380,1739,,,,"Strachan, James",,"[u'Donnan,IV,203<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Minch,100-01<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'DP,38.04.27.<><i>Daily Post</i>', u'DailyG,39.04.12.<><p>Daily Gazeteer (London)</p>', u'DailyG,39.07.03.<><p>Daily Gazeteer (London)</p>', u'DailyG,39.12.13.<><p>Daily Gazeteer (London)</p>']"
75077,Anne,Great Britain,"Gold Coast, port unspecified",Charleston,273,236,1725,,,,"Murray, Richard",,"[u'CO390/7<><p><em>British National Archives</em> (Kew) Colonial Office</p>', u'ADM68/194,34v<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'CO388/25<><p><em>British National Archives</em> (Kew) Colonial Office</p>', u'T70/7,f.74<><p><em>British National Archive</em> (Kew) Treasury</p>']"
75089,Antelope,Great Britain,"West Central Africa and St. Helena, port unspecified",York River,335,286,1734,,,,"Chandler, Thomas",,"[u'ADM7/78<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'Donnan,IV,193<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Minch,79<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'HCA1/99,CapeCoastCastle<><p><em>British National Archives</em> (Kew) High Court of Admiralty </p>', u'ADM68/196,177<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u""RWJ,33.11.17.<><i>Read's Weekly Journal; or, British Gazetteer</i>"", u'DPB,35.03.10.<><i>Daily Post Boy</i>']"
75094,Arabella,Great Britain,Gambia,Annapolis,169,150,1731,,,,"Pike, Stephen",,"[u'Donnan,II,399,414<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'F.Moore,Travels,42<><p>Moore, Francis, <em>Travels into the inland parts of Africa</em> (London, 1738)</p>', u'DC,31.01.18.<><i>Daily Courant (London)</i>', u'ADM68/196,2<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'DPB,31.07.05.<><i>Daily Post Boy</i>', u'DPB,31.10.02.<><i>Daily Post Boy</i>', u'Walsh Maryland Database<>Walsh, Lorena, Database of slave trading voyages to Maryland']"
75123,Beggar's Bennison,Great Britain,Saint-Louis,Mississippi,119,93,1776,,,,"Hamilton, John",,"[u'BT6/3,186<><p><em>TNA</em> (Kew, London)</p>', u""LR1776<><i>Lloyd's Register of Shipping</i>, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808 (all published in London)."", u'LList, 5 Dec 1775<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 15 Mar 1776<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 7 June 1776<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 12 July 1776<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'ADM68/203,184<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>']"
75161,Betty and Jenny,Great Britain,Gambia,Charleston,203,180,1773,,,,"Thompson, Alexander",,"[u'BT6/3,179<><p><em>TNA</em> (Kew, London)</p>', u'Donnan,IV,454<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 8 Dec 1772<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 11 Dec 1772<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 31 Aug 1773<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 10 Sept 1773<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'ADM68/203,32<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>']"
75171,Black Prince,Great Britain,"Gold Coast, port unspecified",York River,137,112,1739,,,,"Sibson, John",,"[u'ADM7/82<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'Donnan,IV,203<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Minch,100-101<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'Justesen,v.2,X,25<>Justesen, Ole, <i>Danish Sources for the History of Ghana, 1657-1754</i>, 2 vols. (Copenhagen, 2005).', u'ADM68/197,108v<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'T70/4,98<><p><em>British National Archive</em> (Kew) Treasury</p>', u'DP,38.06.06.<><i>Daily Post</i>', u'DailyG,39.07.12.<><p>Daily Gazeteer (London)</p>', u'DailyG,39.10.09.<><p>Daily Gazeteer (London)</p>', u'DailyG,39.10.12.<><p>Daily Gazeteer (London)</p>']"
75173,Black Prince,Great Britain,Saint-Louis,Rappahannock,91,81,1764,,,,"Watson, John",,"[u'Donnan,IV,231<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Minch,168-69<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u""LR1764<><i>Lloyd's Register of Shipping</i>, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808 (all published in London)."", u'BT6/3,161<><p><em>TNA</em> (Kew, London)</p>', u'LList, 13 Jan 1764<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 17 Jan 1764<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 20 Jan 1764<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 20 Feb 1764<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 13 Nov 1764<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 26 Feb 1765<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'ADM68/200,230<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>']"
75198,Britannia,Great Britain,"Africa., port unspecified","Maryland, port unspecified",250,208,1766,,,,"Knill, John",,"[u'BT6/3,166<><p><em>TNA</em> (Kew, London)</p>', u'LList, 2 Sept 1766<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 28 Oct 1766<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'ADM68/201,58<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>']"
75237,Carlisle,Great Britain,Sierra Leone estuary,Charleston,193,150,1756,,,,"Osborne, Thomas",,"[u'BT6/3<><p><em>TNA</em> (Kew, London)</p>', u'T70/1527<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Donnan,IV,338,354-355<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 23 Dec 1755<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'ADM68/199,189v<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>']"
75242,Castleton,Great Britain,Gambia,Upper James River,90,70,1752,,,,"Tindale, Henry",,"[u'Donnan,IV,223<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Minch,151<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'LList, 26 May 1752<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 7 Nov 1752<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 22 Dec 1752<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'Elder,62<>Elder, Melinda, <i>The Slave Trade and the Economic Development of Eighteenth Century Lancaster</i> (Halifax, 1992).    ', u'Schofield,262<><p>Schofield, Maurice M.,""The Slave Trade from Lancashire and Cheshire Ports Outside Liverpool, c. 1750-c. 1790,"" in Roger Anstey and P.E.H. Hair (eds.), <em>Liverpool, the African Slave Trade, and Abolition</em>, enlarged edition (Liverpool, 1989).</p>', u'T70/1519,List of Ships...in Gambia<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/29,f,34<><p><em>British National Archive</em> (Kew) Treasury</p>']"
75262,Charlotte,Great Britain,Gambia,Lower James River,117,94,1719,,,,"Oulson, Branson",,"[u'Donnan,IV,186<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Minch,47<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'Defoe,116<>Defoe, Daniel, <i>History of the Pirates</i> (London, [1724] 1814).', u'Morice,2,Biglow,1719.10.01<>Morice, Humphry, <i>Slave Trade Journals and Papers (microform). Part 1: the Humphry Morice Papers</i>, 4 reels (Marlborough, 2000).', u""WJSP,24.10.1719<><i>Weekly Journal; or, Saturday's Post</i>""]"
75267,Charlotte,Great Britain,Bance Island (Ben's Island),St. Augustine,128,115,1771,,,,"Tosh, James",,"[u'Donnan,IV,245,438,439<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'BT6/3,174<><p><em>TNA</em> (Kew, London)</p>', u'LList, 16 Aug 1770<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>']"
75271,Charming Molly,Great Britain,"Senegambia and offshore Atlantic, port unspecified",Patuxent,223,183,1762,,,,"Beard, James<br/> Watson",,"[u'BT6/3,159<><p><em>TNA</em> (Kew, London)</p>', u'LList, 8 Jan 1762<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 12 Jan 1762<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 29 Jan 1762<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 9 Feb 1762<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 25 May 1762<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 29 Oct 1762<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 25 Feb 1763<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'ADM68/200,149v<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'Walsh Maryland Database<>Walsh, Lorena, Database of slave trading voyages to Maryland']"
75298,Countess of Sussex,Great Britain,Gambia,Charleston,306,250,1769,,,,"Davies, Thomas",,"[u'BT6/3,170<><p><em>TNA</em> (Kew, London)</p>', u'Donnan,IV,428-9<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'ADM7/94<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'LList, 10 June 1768<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 4 Nov 1768<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 16 May 1769<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 25 July 1769<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'SCG, 4 May, 1769<><p><em>South Carolina Gazette</em>, (Charleston, U.S.A.)</p>', u'ADM68/202,28v<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>']"
75307,Crown Gally,Great Britain,Madagascar,New York,240,120,1721,0.15589,0.15209,0.69202,"Downing, Dennis",,"[u'CO390/7<><p><em>British National Archives</em> (Kew) Colonial Office</p>', u'Donnan,III,472<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Faber,133<>Faber, Eli, <i>Jews, Slaves, and the Slave Trade: Setting the Record Straight</i> (New York, 1998).', u'C104/13,pt2<><p><em>The National Archives</em> (Kew, UK) Chancery</p>', u'foydatabase<>Foy, Charlie (Rutgers University), New York Transatlantic Slave Trading Voyages Database.', u'C104/14,pt2<><p><em>The National Archives</em> (Kew, UK) Chancery</p>']"
75334,Dispatch,Great Britain,Bance Island (Ben's Island),Charleston,230,197,1761,,,,"Duncan, John",,"[u'Donnan,IV,378,379<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 6 Nov 1761<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 27 Apr 1762<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 18 May 1762<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>']"
75369,Duke of York,Great Britain,Gambia,Charleston,282,250,1761,,,,"Bostock, Peter",,"[u'BT6/3,159<><p><em>TNA</em> (Kew, London)</p>', u'Donnan,IV,378<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 13 Mar 1761<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 16 Oct 1761<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 4 Dec 1761<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 16 Mar 1762<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'ADM68/200,118v<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>']"
75390,Elizabeth,Great Britain,"Africa., port unspecified",Londontowne,190,160,1719,,,,"Roberts, Peter<br/> Bull, Stephen",,"[u'MSA, Anne Arundel, Liber CW 1, CE 76-10, p. 41, July 16, 171<><p><em>Maryland State Archives&nbsp;</em>(Annapolis, Maryland)<em>, Anne Arundel County Land Records</em></p>', u'Morice,2,Phipps,1719.10.19<>Morice, Humphry, <i>Slave Trade Journals and Papers (microform). Part 1: the Humphry Morice Papers</i>, 4 reels (Marlborough, 2000).', u'BankEng,PBP,7:518<><i>Bank of England</i> (London, UK) Papers of Humphry Morice, Personal and Business Papers, vols. 7 and 8', u'PM,02.10.1718<><i>Post Man</i>', u'CO390/7<><p><em>British National Archives</em> (Kew) Colonial Office</p>', u'Walsh Maryland Database<>Walsh, Lorena, Database of slave trading voyages to Maryland', u'Morice,2,Morice(toBull),1718.10.31<>Morice, Humphry, <i>Slave Trade Journals and Papers (microform). Part 1: the Humphry Morice Papers</i>, 4 reels (Marlborough, 2000).', u'T70/9,116<><p><em>British National Archive</em> (Kew) Treasury</p>', u'PM,11.10.1718<><i>Post Man</i>']"
75396,Elizabeth,Great Britain,"Gold Coast, port unspecified",Charleston,182,180,1765,,,,"McNeil, John",,"[u'BT6/3,161B<><p><em>TNA</em> (Kew, London)</p>', u'CO5/510<><p><em>British National Archives</em> (Kew) Colonial Office</p>', u'ADM7/91<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'Donnan,IV,413<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 5 Mar 1765<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 30 July 1765<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 2 Sept 1766<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u""LR1764<><i>Lloyd's Register of Shipping</i>, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808 (all published in London)."", u'ADM68/201,50v<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>']"
75446,Expedition,Great Britain,Saint-Louis,Charleston,161,143,1774,,,,"Spence, John",,"[u'BT6/3,182<><p><em>TNA</em> (Kew, London)</p>', u'Donnan,IV,467<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 26 Nov 1773<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 30 Nov 1773<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 8 Mar 1774<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 8 July 1774<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 19 July 1774<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 6 Sept 1774<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'ADM68/203,84<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>']"
75478,Falcon,Great Britain,"West Central Africa and St. Helena, port unspecified",York River,407,348,1738,,,,"Young, Hasden",,"[u'ADM7/82<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'Donnan,IV,201<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Minch,98-99<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'ADM68/197,64v<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'GEP,37.10.04.-06.<><i>General Evening Post</i>']"
75480,Favourite Polly,Great Britain,Cape Coast Castle,Annapolis,96,80,1762,,,,"Campbell, Thomas",,"[u'BT6/3,159<><p><em>TNA</em> (Kew, London)</p>', u'Donnan,IV,48<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/1263<><p><em>British National Archive</em> (Kew) Treasury</p>', u'LList, 26 June 1761<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 28 Sept 1762<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 1 Mar 1763<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'ADM68/200,162<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'T70/31,f.5<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Walsh Maryland Database<>Walsh, Lorena, Database of slave trading voyages to Maryland']"
75482,Ferrand Gally (a) Ferdinand,Great Britain,Calabar,York River,80,61,1718,,,,"Hodgson, John",,"[u'Donnan,IV,177<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Minch,44-45<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'PB,19.04.1719<><i>Post Boy</i>', u'LG,17.12.01.<><i>London Gazette</i>']"
75495,Fly,Great Britain,"Windward Coast, port unspecified",Savannah,152,130,1769,,,,"Taylor, Alexander",,"[u'Donnan,IV,428,625<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 3 Jan 1769<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 11 Aug 1769<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'ADM68/202,23<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>']"
75527,Friendship,Great Britain,Saint-Louis,"Virginia, port unspecified",169,150,1764,,,,Webster,,"[u'BT6/3,161<><p><em>TNA</em> (Kew, London)</p>', u'LList, 1 Mar 1763<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 24 July 1764<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>']"
